key,en,en_US,en_CA,es,es_419,es_ES,es_SV,es_EC,fr,fr_CA,fr_FR,pt,ru,de,sv,da,fi,no,fo,hu,ro,pl,hy,he,ar,el,ja,zh_HANT,et,ia,,
Competition.customScoreExplanation,"For kids or special competitions, allow modification of total with bonuses or penalties.",,,"Para niños o competencias especiales, permita la modificación del total con bonificaciones o penalizaciones.",,"Para niños o competiciones especiales, permita la modificación del total con bonificaciones o penalizaciones.","Para niños o competencias especiales, permita la modificación del total con bonificaciones o penalizaciones.","Para niños o competencias especiales, permita la modificación del total con bonificaciones o penalizaciones.","Pour les compétitions jeunesse ou spéciales, permettre la modification du total par des bonus ou des pénalités.",,,"Para crianças ou competições especiais, permitir a modificação do total com bônus ou penalidades","Для детей или специальных соревнований, разрешить вводить бонусы и штрафы по СУММЕ.",Für Kinder oder spezielle Wettkämpfe die Änderung der Gesamtsumme mit Boni oder Abzügen erlauben.,"For kids or special competitions, allow modification of total with bonuses or penalties.","For specielle stævner, tillad modifikation af total med bonuspoint eller fradrag.",Salli lasten tai erikoiskilpailujen kokonaismäärän muuttaminen bonuksilla tai rangaistuksilla.,"For barn eller spesielle konkurranser, tillat endring av totalen med bonuser eller straffer.","For kids or special competitions, allow modification of total with bonuses or penalties.",Gyerekek vagy speciális versenyek esetén engedélyezze az összetett eredmények módosítását bónuszokkal vagy büntetésekkel .,"Pentru copii sau competiții speciale, permiteți modificarea totalului cu bonusuri sau penalități.",W przypadku dzieci lub specjalnych konkursów zezwól na modyfikację wyniku za pomocą premii lub kar.,Երեխաների կամ հատուկ մրցույթների համար թույլատրեք բոնուսների և տույժերի գումար ներմուծել՝ ԵՐԿԱՄԱՐՏՈՎ:,"עבור תחרויות ילדים או תחרויות מיוחדות, אפשר שינוי קרב שניים עם בונוסים או עונשים.",لأجل الأطفال أو المسابقات الخاصة، السماح بتعديل المجموع مع المكافآت أو العقوبات.,"Για παιδιά ή ειδικούς αγώνες, επιτρέψτε την τροποποίηση του συνόλου με μπόνους ή ποινές.",子ども大会や特別な大会では、ボーナスやペナルティを加味してトータル重量の修正を許可します,兒童或特殊比賽允許以獎勵或罰款修改合計。,Luba muudatused laste- või spetsiaalsete gruppide jaoks.,217,,"For kids or special competitions, allow modification of total with bonuses or penalties."
ForcedAsCurrent,Forced as Current Athlete,,,Forzar como el atleta actual,,Forzado como el atleta actual,Forzado como un atleta actual,Forzar como el atleta actual,Forcé comme athlète courant,,,Forçar Entrada do Atleta,Принудительный вызов спортсмена,Erzwinge aktuellen Athleten,Sätt som nuvarande lyftare,Sæt som en nuværende atlet,Pakota vuorossa oleva nostaja,Sett som nåværende utøver,Forced as Current Athlete,Kényszerit mint Aktuális versenyző,Forțat ca Atlet Actual,Wywołaj jako aktualny sportowiec,Մարզիկի հարկադիր կանչ,נכפה כספורטאי נוכחי,فرض كرياضي حالي,Αναγκασμένος ως τρέχων αθλητής,強制的に現在の選手に設定,強制為目前運動員,Tõstetud praeguseks sportlaseks,218,,Forced as Current Athlete
Gender,Gender,,,Género,,Género,Género,Género,Genre,,,Gênero,Пол,Geschlecht,Kön,Køn,Sukupuoli,Kjønn,Kyn,Nem,Gen,Płeć,Սեռ,מין,الجنس,Γένος,性別,性別,Sugu,219,,Gender
Upload.GenderMismatch,"Gender for category ""{0}"" does not match athlete gender {1}.",,,"Sexo por catergoría ""{0}"" no coincide con el sexo del atleta {1}.",,"El Género por categoría ""{0}"" no coincide con el género del atleta {1}.","Sexo por catergoría ""{0}"" no coincide con el género del atleta {1}.","Sexo por catergoría ""{0}"" no coincide con el sexo del atleta {1}.","Le genre pour la catégorie ""{0}"" ne correspond pas à celui de l'athlète ""{1}"".",,,"O gênero da categoria ""{0}"" não corresponde ao gênero do atleta {1}.","Пол для категории ""{0}"" не соответствует полу спортсмена {1}.","Geschlecht für die Gewichtsklasse ""{0}"" stimmt nicht mit dem Geschlecht des Athleten überein {1}.","Viktklassens könsangivelse ""{0}"" matchar inte lyftarens kön {1}.","Kønsangivelse for vægtklassen ""{0}"" matcher ikke atletens køn {1}.","Sukupuoli painoluokittain ""{0}"" ei täsmää nostajan sukupuoleen {1}.",Kjønn for kategorien «{0}» samsvarer ikke med utøverens kjønn {1}.,"Gender for category ""{0}"" does not match athlete gender {1}.","A ""{0}"" kategória neme nem egyezik a sportoló nemével ({1}).",Sexul pentru categoria „{0}” nu se potrivește cu sexul sportivului {1}.,Płeć w kategorii „{0}” nie odpowiada płci sportowca {1}.," ""{0}"" բաժնի սեռը չի համապատասխանում մարզիկի սեռին {1}:","מין עבור קטגוריה ""{0}"" לא תואם את מין הספורטאי {1}.",عدم تطابق الجنس,"Το φύλο για την κατηγορία ""{0}"" δεν ταιριάζει με το φύλο του αθλητή {1}.",カテゴリ「{0}」の性別と選手の性別 {1} が一致しません,分級的性別「{0}」與運動員的性別 {1} 不相符。,"Kategooria ""{0}"" sugu ei kattu sportlase sooga {1}.",220,,"Gender for category ""{0}"" does not match athlete gender {1}."
GenerateStartNumbers,Generate Start Numbers,,,Genere Números de Inicio,,Genere Números de Inicio,Genere Números de Inicio,Genere Números de Inicio,Générer les Nº de départ,,,Gerar Números Iniciais,Назначить стартовые номера,Generiere Startnummern,Generera startnummer,Generér Startnumre,Arvo kilpailunumerot,Generer startnummer,Generate Start Numbers,Rajtszámok generálása,Generați numere de start,Nadaj numery startowe,Նշանակել սկսման համարները,צור מספרי התחלה,توليد أرقام البداية,Δημιουργήστε αριθμούς έναρξης,スタート番号を生成する,產生試舉編號,Genereeri stardinumbrid,221,,Generate Start Numbers
EVENT_ExplicitDecision,give decision,,,Dar Decision,,Dar decisión,Dar Decision,Dar Decision,annoncer la décision,,,dar decisão,показать решение,Entscheidung treffen,ge beslut,afgiv afgørelse,anna päätös,gi avgjørelse,give decision,döntést hozni,da decizia,podaj decyzję,Ցուցադրել որոշումը,תן החלטה,إعطاء القرار,δώσει απόφαση,判定を行う,給出決定,edasta otsus,222,,give decision
EVENT_DownSignal,give down signal,,,dar señal de bajada,,Dar señal de tierra,Dar señal de bajada,Dar señal de bajada,donner le signal terre,,,Dar sinal para baixar,показать сигнал опустить,Ab Signal geben,ge nedsignal,giv ned signal,anna alasignaali,gi ned signal,give down signal,Le jelet megadni,da semnalul jos,podaj sygnał opuść,Ցուցադրել իջեցման ազդանշան,תן אות סיום,إعطاء إشارة النزول,δίνω σήμα,ダウンの合図を出す,給出放下信號,anna alla-signaal,223,,give down signal
GotIt,Got it.,,,Entendido.,,Entendido.,Entendido.,Entendido.,Compris.,,,Entendi.,Понял,Verstanden,Uppfattat.,Forstået,Selvä.,Skjønner,Got it.,Megértettem.,Am înţeles.,Rozumiem,Հասկացա.,הבנתי.,فهمت,Κατάλαβα.,了解しました,了解。,Sain aru.,224,,Got it.
Card.group,Session,,,Tanda,,Tanda,Grupo,Tanda,Plateau,Session,,Sessão,Поток,Gruppe,Grupp,Session,Ryhmä,Pulje,Session,Csoport,Sesiune,Grupa,Խումբ,מקצה,الجلسة,Συνεδρίαση,セッション,場次,Grupp,225,,Session
Group,Session,,,Tanda,,Tanda,Grupo,Tanda,Plateau,Session,,Sessão,Поток,Gruppe,Grupp,Session,Ryhmä,Pulje,Session,Csoport,Sesiune,Grupa,Խումբ,מקצה,الجلسة,Συνεδρίαση,セッション,場次,Grupp,226,,Session
Upload.GroupNotDefined,"Session ""{0}"" is not defined.",,,"Tanda ""{0}"" no esta definida.",,"Tanda ""{0}"" no esta definida.","Grupo ""{0}"" no esta definida.","Tanda ""{0}"" no esta definida.","Le plateau ""{0}"" n'est pas défini.","Le session ""{0}"" n'est pas définie.",,"A sessão ""{0}"" não está definida.","Поток ""{0}"" не определен","Gruppe ""{0}"" ist nicht definiert.","Gruppp ""{0}"" är inte definierad","Session ""{0}"" er ikke defineret","Ryhmää ""{0}"" ei ole määritelty.","Pulje ""{0}"" er ikke definert.","Session ""{0}"" is not defined.","A ""{0}"" csoport nincs meghatározva.",Grupul „{0}” nu este definit.,Sesja „{0}” nie jest zdefiniowana.,"""{0}"" խումբը սահմանված չէ:","המקצה ""{0}"" לא מוגדר.","الجلسة ""{0}"" غير محددة","Η περίοδος λειτουργίας ""{0}"" δεν έχει οριστεί.",セッション {0} は定義されていません,場次「{0}」未定義。,"Grupp""{0}"" ei ole defineeritud.",227,,"Session ""{0}"" is not defined."
CannotEditResults_logging,"Session {} currently lifting on platform {}, cannot edit",,,"Tanda {} levantando actualmente en la plataforma {}, no se puede editar",,"Tanda {} levantando actualmente en la plataforma {}, no se puede editar","Grupo {} levantando actualmente en la plataforma {}, no se puede editar","Tanda {} levantando actualmente en la plataforma {}, no se puede editar","Plateau {} lève sur plateforme {}, impossible d'éditer","Session {} lève sur plateforme {}, impossible d'éditer",,"O grupo {} atualmente na plataforma {}, não pode ser editado","Поток {} в настоящее время активен на помосте {}, нельзя редактировать",Die Gruppe {} die momentan auf Bohle {} hebt kann nicht bearbeitet werden.,"Grupp {} lyfter för närvarande på plattformen {}, kan inte redigeras","Session {} afvikles i øjeblikket på platform {}, kan ikke ændres","Ryhmä {} nostaa parhaillaan {}, ei voi muokata","Pulje {} pågår for øyeblikket på plattform {}, kan ikke redigere","Session {} currently lifting on platform {}, cannot edit",A csoport{} jelenleg a dobogón emel {} nem szerkeszthető,"Sesiunea {} care ridică în prezent pe platforma {}, nu poate fi editat","Sesja {} aktualnie trwa na pomoście {}, nie można edytować","Խումբ {} ներկայումս ակտիվ է {} հարթակին, չի կարելի խմբագրել","מקצה {} מרים כעת על במה {}, לא ניתן לערוך",لا يمكن تعديل الجلسة {} الرافعة حالياً على المنصة {},Δεν είναι δυνατή η επεξεργασία της συνεδρίας {} αυτήν τη στιγμή στην πλατφόρμα {},セッション{}は現在プラットフォーム{}でリフティング中のため、編集できません,場次 {} 目前在平台 {} 舉重中，無法編輯,"Hetkel võistluspõrandal {0} olev grupp {1}, ei saa muuta.",228,,"Session {} currently lifting on platform {}, cannot edit"
EditingResults_logging,"Session {} lifting on {}, editing",,,"Tanda {} Levantando {}, edición",,"Tanda {} Levantando {}, edición","Grupo {} Levantando {}, edición","Tanda {} Levantando {}, edición","Plateau {} lève sur plateform {}, édition","Session {} active sur plateau {}, édition",,"Grupo {} levantamento em {}, edição",Редактирование потока {} на помосте {},"Gruppe {} hebt auf {}, bearbeiten","Grupp {} Lyfter på {}, redigering","Session {} løfter på {}, retter","Ryhmä {} käynnissä {}, muokkaa","pulje {} løfter på {}, redigering","Session {} lifting on {}, editing","A csoport {} emelés {}, szerkesztés","Sesiune {} ridicare pe {}, editare","Sesja {} podniesienie na {}, edycja","Խմբագրել {} մրցահարթակի {}, խումբը","מקצה {} מרים על {}, עריכה",تعديل الجلسة {} الرافعة على {},"Σύνοδος {} ανύψωση στις {}, επεξεργασία",セッション{}は{}でリフティング中、編集中です,場次 {} 在 {} 舉重中，編輯中,"Grupp {0} võistluspõrandal {1}, muutmine.",229,,"Session {} lifting on {}, editing"
Group_number,Session {0},,,Tanda {0},,Tanda {0},Grupo {0},Tanda {0},Plateau {0},Session {0},,Sessão {0},Поток {0},Gruppe {0},Grupp {0},Session {0},Ryhmä {0},pulje {0},Bólkur {0},Csoport,Sesiune {0},Grupa {0},Խումբ {0},מקצה {0},رقم الجلسة,Συνεδρία {0},セッション {0},場次 {0},Grupp {0},230,,Session {0}
Scoreboard.GroupLiftType,Session {0} {1},,,Tanda {0} {1},,Tanda {0} {1},Grupo {0} {1},Tanda {0} {1},Plateau {0} {1},Session {0} {1},,Sessão {0} {1},Поток {0}. {1},Gruppe {0} {1},Grupp{0} {1},Session {0} {1},Ryhmä {0} {1},pulje {0} {1},Bólkur {0} {1},Csoport {0} {1},Sesiune {0} {1},Grupa {0} {1},Խումբ {0}. {1},מקצה {0} {1},نوع الرفع للجلسة,Συνεδρία {0} {1},セッション{0} {1},場次 {0} {1},Grupp {0} {1},231,,Session {0} {1}
Results.GroupLiftType,Session {0} {1},,,Tanda {0} {1},,Tanda {0} {1},Grupo {0} {1},Tanda {0} {1},Plateau  {0} {1},Session {0} {1},,Sessão {0} {1},Поток {0}. {1},Gruppe {0} {1},Grupp{0} {1},Session {0} {1},Ryhmä {0} {1},pulje {0} {1},Bólkur {0} {1},Csoport {0} {1},Sesiunea {0} {1},Grupa {0} {1},Հոսք {0}. {1},מקצה {0} {1},نوع الرفع للجلسة,Συνεδρία {0} {1},セッション{0} {1},場次 {0} {1},Grupp {0} {1},232,,Session {0} {1}
Group_number_results,Session {0} &ndash; Results,,,Tanda {0} &ndash; Resultados,,Tanda {0} &ndash; Resultados,Tanda {0} &ndash; Resultados,Tanda {0} &ndash; Resultados,Plateau  {0} &ndash; Résultats,Session {0} &ndash; Résultats,,Sessão {0}; Resultados,Результаты потока {0},Gruppe {0} &ndash; Ergebnisse,Grupp {0} &ndash; Resultat,Session {0} &ndash; resultater,Ryhmän {0} &ndash; tulokset,pulje {0} &ndash; Resultater,Session {0} &ndash; Results,Csoport {0} &ndash; Eredmények,Sesiune {0} &ndash; Rezultate,Grupa {0} &ndash; Wynik,{0} խմբի արդյունքները,מקצה {0} &ndash; תוצאות,نتائج الجلسة {0},Συνεδρία {0} &ndash; Αποτελέσματα,セッション {0} &ndash; 結果,場次 {0} &ndash; 成績,Grupp {0} &ndash; Tulemused,233,,Session {0} &ndash; Results
