key,en,hy,es,es_ES,es_SV,es_EC,fr,fr_CA,fr_FR,da,ru,uk,sv,de,pt,,xx,pl,key,en
LimitForCategory,≤ max kg,≤ max կգ,≤ máx kg,≤ máx kg,≤ max kg,≤ max kg,≤ max kg,,,≤ max kg,≤ max кг,≤ max кг,≤ max kg,≤ max kg,≤ max kg,,35,≤ max kg,LimitForCategory,≤ max kg
About,About,Ծրագրի մասին,Acerca de,Acerca de,,,À propos,À propos,A propos,Om,О системе,Про систему,Om,Über,Sobre,,36,,About,About
Config.AccessControlTitle,Access Control,Մուտքի վերահսկում,Control de acceso,Control de acceso,,,Contrôles d'accès,,,Adgangskontrol,Контроль доступа,Контроль доступу,Access Control,Zugangskontrolle,Controle de Acesso,,37,Access Control,Config.AccessControlTitle,Access Control
Active,Active,Ակտիվ,Activo,Activo,,,Actif,,,Aktiv,Активная,Активна,Aktiv,Akitv,Ativo,,38,Aktywny,Active,Active
Active,Active,Ակտիվ,Activo,Activo,,,Actif,,,Aktiv,Активная,Активна,Aktiv,Aktiv,Ativo,,39,Aktywny,Active,Active
ActiveCategoriesOnly,Active Categories Only,Միայն ակտիվ բաժինները,Solo Categorías Activas,Solo Categorías Activas,,,Catégories actives seulement,,,Kun aktive vægtklasser,Только активные категории,Тільки активні категорії,Endast aktiva viktklasser,Nur aktive Gewichtsklassen,Apenas Categorias Ativas,,40,Tylko aktywne kategorie ,ActiveCategoriesOnly,Active Categories Only
Add,Add,Ավելացնել,Añadir,Añadir,,,Ajouter,,,Tilføj,Добавить,Додати,Lägg till,Hinzufügen,Adicionar,,41,Dodaj,Add,Add
Add_title,Add {0},Ավելացնել {0},Añadir {0},Añadir {0},,,Créer {0},,,Tilføj {0},Добавить {0},Додати {0},Lägg till {0},Hinzufügen {0},Adicionar {0},,42,Dodaj {0},Add_title,Add {0}
AddNewCategory,Add Category,Համալրել,Agregar categoría,Agregar categoría,,,Ajouter catégorie,,,Tilføj kategori,Добавить категорию,Додати категорію,Add Category,Gewichtsklasse hinzufügen,Adicionar Categoria,,43,Add Category,AddNewCategory,Add Category
darkModeSelect,"After opening, click on the board to select white on black or black on white.",Բացելուց հետո մկնիկով սեղմեք էկրանի վրա և ընտրեք սև կամ սպիտակ ֆոն,"Después de abrir, haga clic en blanco sobre negro o negro sobre blanco.","Después de abrir, haga clic en blanco sobre negro o negro sobre blanco.","Despues de abrir, haga clic en blanco sobre negro o negro sobre blanco.","Despues de abrir, haga clic en blanco sobre negro o negro sobre blanco.","Après l'ouverture, cliquer sur l'écran pour choisir blanc sur noir ou noir sur blanc.",,,Efter åbning skal du klikke på [Hvid på Sort] eller [Sort på Hvid].,После открытия кликнуть мышкой по экрану и выбрать белый или черный фон результатов.,"Після відкриття клацніть мишкою по екрану, щоб обрати колір фону (білий або чорний).",Efter öppning ska du klicka på vitt på svart eller svart på vitt,"Klicken Sie nach dem Öffnen auf die Tafel, um Weiss auf Schwarz oder Schwarz auf Weiss auszuwählen.","Após a abertura, clique no quadro para selecionar o fundo branco ou fundo preto.",,44,"After opening, click on the board to select white on black or black on white.",darkModeSelect,"After opening, click on the board to select white on black or black on white."
Scoreboard.AgeGroup,Age Gr.,Տարիքային խումբ,Grupos por edades,Grupos por edades,,,Gr. Age.,,,Aldesgruppe,Возрастная категория,Вікова група,Åldersgrupp,Alterskl.,Idade Gr.,,45,Age Gr.,Scoreboard.AgeGroup,Age Gr.
Results.AgeGroup,Age Gr.,Տարիքային խումբ,Grupos por edades,Grupos por edades,,,Gr. Age.,,,Aldesgruppe,Возрастная категория,Вікова група,Åldersgrupp,Alterskl.,Idade Gr.,,46,Age Gr.,Results.AgeGroup,Age Gr.
AgeGroup,Age Group,Տարիքային խումբ,Grupos por edades,Grupos por edades,,,Groupe d'âge,,,Aldersgruppe,Возрастная категория,Вікова група,Åldersgrupp,Altersklasse,Grupo de Idade,,47,Grupa wiekowa,AgeGroup,Age Group
Card.ageGroup,Age Group,Տարիքային խումբ,Grupos por Edades,Grupos por Edades,,,Groupe d'âge,,,Aldersgruppe,Возрастная категория,Вікова група,Åldersgrupp,Altersklasse,Grupo de Idade,,48,Grupa wiekowa,Card.ageGroup,Age Group
Preparation_AgeGroups,Age Groups,Տարիքային խմբերի նախապատրաստում,Grupos de Edad,Grupos de Edad,,,Groupes d'âge,,,Forberedelse - Aldersgrupper,Подготовка возрастных групп,Вікові групи,Förberedelse - Åldersgrupper,Vorbereitung – Altersklassen,Grupos por Faixa Etária,,49,Age Groups,Preparation_AgeGroups,Age Groups
AgeFormat,Age must be a number between 0 and 999 inclusively.,Տարիքը պետք է լինի 0-ից եւ 999-ը ներառյալ:,La edad debe ser un número entre 0 y 999 inclusive.,La edad debe ser un número entre 0 y 999 inclusive.,,,L'âge doit être entre 0 et 999 inclusivement.,,,Alder skal være et tal mellem 0 og 999 ,Возраст должен быть от 0 до 999 включительно.,Вік має бути від 0 до 999 включно.,Ålder ska vara ett tal mellan 0 och 999.,Das Alter muss eine Zahl zwischen 0 und 999 beinhalten.,"A idade deve ser um número entre 0 e 999, inclusive.",,50,Age must be a number between 0 and 999 inclusively.,AgeFormat,Age must be a number between 0 and 999 inclusively.
Competition.roundRobinOrderExplanation,"All lifters perform their first lift according to requested weight, then same for 2nd attempt, then 3rd.","Բոլոր մարզիկները կատարում են իրենց առաջին բարձրացումը ըստ պահանջվող քաշի, ապա նույնը 2-րդ փորձի համար, ապա 3-րդը:","Todos los levantadores realizan su primer intento de acuerdo al peso solicitado, lo mismo para el 2º y 3º intentos","Todos los levantadores realizan su primer intento de acuerdo al peso solicitado, lo mismo para el 2º y 3º intentos",,,"Tous les athlètes font leur 1er essai dans l'ordre de poids demandé, pareillement pour le 2e, puis le 3e.",,,"Alle løftere udfører første løft udfra angivet vægt, dernæst det samme for andet forsøg og igen for tredje forsøg.","Все спортсмены выполняют свой первый подъём в соответствии с требуемым весом, затем тоже самое для 2-й попытки, затем 3-й.","Усі спортсмени виконують свою першу спробу у відповідності до заявленої ваги, потім усі виконують другу спробу, потім третю.","Alla lyftare utför sitt första lyft på angiven vikt, det samma gäller för andra och tredje försök. ","Alle Heber führen den ersten Versuch entsprechend dem gewünschten Gewicht durch, das gleiche dann für den zweiten Versuch und für den dritten.","Todos os atletas realizam seu primeiro levantamento de acordo com o peso solicitado, depois o mesmo para a segunda tentativa e depois para a terceira.",,51,"All lifters perform their first lift according to requested weight, then same for 2nd attempt, then 3rd.",Competition.roundRobinOrderExplanation,"All lifters perform their first lift according to requested weight, then same for 2nd attempt, then 3rd."
Scoreboard.TimeAllowed,Allowed,Թույլատրվում է,Permitido,Permitido,,,Alloué,,,Allokeret,Разрешено,Дозволено,Allowed,Erlaubt,Permitido,,52,Allowed,Scoreboard.TimeAllowed,Allowed
Results.TimeAllowed,Allowed,Թույլատրվում է,Permitido,Permitido,,,Alloué,,,Allokeret,Разрешено,Дозволено,Allowed,Erlaubt,Permitido,,53,Allowed,Results.TimeAllowed,Allowed
Announcer,Announcer,Գլխ․ քարտ․,Locutor,Locutor,Presentador,Anunciador,Annonceur,,,Speaker,Судья-информатор,Суддя-інформатор,Speaker,Sprecher,Locutor,,54,Spiker,Announcer,Announcer
Apply,Apply,Ընդունել,Aplicar,Aplicar,,,Appliquer,,,Anvend,Применить,Застосувати,Använd,Übernehmen,Aplicar,,55,Zastosuj,Apply,Apply
Competition.enforce20kgRule,Apply initial total weight rule (IWF §6.6.5/Masters §2.4)?,Ընդունե՞լ 20 կգի կանոնը (IWF §6.6.5/Masters §2.4),Aplicar regla de peso total inicial (IWF §6.6.5/Masters §2.4)?,Aplicar regla de peso total inicial (IWF §6.6.5/Masters §2.4)?,,,Appliquer la règle de poids total initial (IWF §6.6.5/Masters §2.4)?,,,Anvend indledende tokampsvægtregel (IWF §6.6.5/Masters §2.4)?,Применить «правило 20 кг» (IWF §6.6.5/Masters §2.4)?,Застосувати «правило 20 кг» (IWF §6.6.5/Masters §2.4)?,Tillämpa totalviktsregeln (IWF ¬ß6.6.5/Masters ¬ß2.4)?,Standard Gewichtsklassen Reglung übernehmen (IWF 6.6.5/Masters 2.4)?,Aplicar a Regra de Peso Total Inicial (IWF §6.6.5 / Master §2.4)?,,56,Zastosować zasadę początkowej masy ciała (IWF §6.6.5 / Masters §2.4)?,Competition.enforce20kgRule,Apply initial total weight rule (IWF §6.6.5/Masters §2.4)?
AthleteCard,Athlete Card,Քարտ մարզիկի համար,Tarjeta del Atleta,Tarjeta del Atleta,,,Carton d'athlète,,,Atletkort,Карточка,Картка спортсмена,Lyftarkort,Startkarte,Cartão do Atleta,,57,Karta zawodnika,AthleteCard,Athlete Card
AthleteCards,Athlete Cards,Քարտեր մարզիկների համար,Tarjetas de Atleta,Tarjetas de Atleta,,,Cartons d'athlète,,,Atlet kort,Карточки спортсменов,Картки спортсменів,Lyftarkort,Startkarten,Cartões do Atleta,,58,Karty zawodników,AthleteCards,Athlete Cards
Athlete_Attempt,Athlete-facing Attempt Board Display,Փորձի էկրան մարզիկի համար,Pantalla de Intento frente al Atleta,Pantalla de Intento frente al Atleta,Pantalla de Tablero de Intento del Atleta,Pantalla de Tablero de Intentos del Atleta,Essai courant (face à l'athlète),,,Atlet-vendt Attempt Board,Экран попытки для спортсмена,Інформаційне табло (ДЛЯ СПОРТСМЕНА),Lyftarens Försökstavla,Athleten Anzeige Versuch,Tempo Voltado Para o Atleta,,59,Tablica podejść skierowana w stronę zawodnika,Athlete_Attempt,Athlete-facing Attempt Board Display
Athlete_Decisions,Athlete-facing Timer/Down/Decisions,Մարզիկի համար ժամանակ,Cronómetro frontal Tiempo/Tierra/Veredicto,Cronómetro frontal Tiempo/Tierra/Veredicto,Temporizador de cara al Atleta/Abajo/Decisiones,Reloj de cara al Atleta/Abajo/Decisiones,Chrono/Terre/Décisions (face à l'athlète),,,Atlet-vendt Timer/Nedsignal/Afgørelse,Экран решения для спортсмена,Секундомір,Lyftarens skärm Timer/Nersignal/Beslut,Athleten Anzeige Zeit/Abzeichen/Wertung,Monitor Para o Atleta Cronômetro / Abaixar / Decisões,,60,Zegar skierowany w stronę zawodnika,Athlete_Decisions,Athlete-facing Timer/Down/Decisions
Refereeing_Displays,Athlete-facing Timer/Down/Decisions,Էկրան մարզիկի համար,Frontal: Cronómetro/Tierra/Veredicto,Frontal: Cronómetro/Tierra/Veredicto,Temporizador de cara al Atleta/Abajo/Decisiones,Reloj de cara al Atleta/Abajo/Decisiones,Chrono/Terre/Décisions (face à l'athlète),,,Atlet-vendt Timer/Nedsignal/Afgørelse,Экран решения для спортсмена,Табло для спортсмена (секундомір / рішення суддів),Lyftarens Timer/nersignal/Beslut,Athleten Timer Anzeige /Abzeichen / Wertung,Tempo Voltado Para o Atleta /Descer/Decisão,,61,Athlete-facing Timer/Down/Decisions,Refereeing_Displays,Athlete-facing Timer/Down/Decisions
Attempt,Attempt,Փորձ,Intento,Intento,Tentativa,,Essai,,,Forsøg,Попытка,Спроба,Försök,Versuch,Tentativa,,62,Podejście,Attempt,Attempt
AttemptAF,Attempt (AF),Փորձի էկրան (դեպի մարզիկ),Intento (AF),Intento (AF),Tentativa (AF),,Essai courant (face à l'athlète),,,Forsøg (AV),Экран попытки (лицом к атлету),Інформаційне табло (для спортсмена),Försök (AF),Versuch (AF),Tentativa (AF),,63,Podejście (AF),AttemptAF,Attempt (AF)
AttemptBoard,Attempt Board,Փորձի էկրան,Intento de Tablero,Intento de Tablero,,,Essai courant,,,Attempt Board,Экран попытки,Інформаційне табло,Försökstavla,Anzeige Versuch,Exibir Tentativas,,64,Tablica podejść,AttemptBoard,Attempt Board
DisplayType.Title,Attempt Board Information,Փորձի էկրան,Información Tablero de Intentos,Información Tablero de Intentos,,,Information sur l'écran d'essai courant,,,Attempt Board Information,Экран попытки,Інформаційне табло,Försökskärms information,Versuchsanzeige Information,Quadro de Informação de Tentativas,,65,Attempt Board Information,DisplayType.Title,Attempt Board Information
